x_mm,y_mm,z_mm,edep_keV
-2.4709,0.912453,-1.6437,11.139
-2.40068,0.912453,-1.6437,0.0905837
-2.40069,0.912458,-1.64369,13.7704
-3.74547,2.28073,2.76716,11.684
-3.72919,2.28073,2.76716,1.65301
-3.72919,2.28071,2.7672,11.663
-3.57278,1.95333,1.09083,9.884
-3.54466,1.95333,1.09083,1.95595
-3.54469,1.9533,1.09079,13.16
-4.8653,2.29025,-8.63745,11.684
-4.85169,2.29025,-8.63745,0.581226
-4.85168,2.29029,-8.63747,12.7348
-3.30761,-5.03461,3.32949,11.684
-3.3052,-5.03461,3.32949,0.920741
-3.30518,-5.0346,3.32947,12.3953
-2.25312,2.49506,1.68208,0.407
-2.18966,2.49506,1.68208,0.241648
-2.18967,2.4951,1.68218,24.3514
1.57585,2.437,-3.78575,11.139
1.57645,2.437,-3.78575,0.382992
1.57645,2.43703,-3.78579,13.478
-2.58169,1.44162,3.7061,11.684
-2.5482,1.44165,3.70609,13.316
-0.945294,-0.0875144,-1.13655,11.684
-0.889768,-0.0875144,-1.13655,0.546153
-0.889773,-0.0874952,-1.13655,12.7698
-3.18275,2.47655,3.70295,9.884
-3.10603,2.47655,3.70295,0.314517
-3.10599,2.47655,3.70291,14.8015
-3.33421,-4.65186,3.13167,11.684
-3.32378,-4.65186,3.13167,1.49114
-3.32375,-4.65187,3.13171,11.8249
-0.525858,0.404107,5.61582,11.139
-0.524991,0.404107,5.61582,0.161039
-0.524983,0.404153,5.61583,0.699587
-0.524954,0.404173,5.61585,0.999601
-0.524924,0.404184,5.61588,0.361064
-0.524898,0.404186,5.61588,0.0473506
-0.524924,0.404192,5.61589,0.476913
-0.524948,0.404194,5.61591,0.0386606
-0.524975,0.404208,5.61592,0.737139
-0.524982,0.40424,5.61592,0.110674
-0.52497,0.404258,5.61593,10.229
-1.4311,3.13646,0.829037,2.197
-1.41499,3.13646,0.829037,0.612461
-1.41495,3.13638,0.829,22.1905
-0.987325,1.54292,6.6736,11.684
-0.90556,1.54292,6.6736,0.0653351
-0.905555,1.54292,6.67356,13.2507
-3.92291,1.68808,0.21597,9.884
-3.91461,1.68808,0.21597,0.315878
-3.91461,1.68807,0.215923,14.8001
-1.93051,2.66527,0.251917,11.139
-1.91901,2.66527,0.251917,1.08668
-1.91902,2.66529,0.251888,12.7743
-4.53159,-0.586216,-8.42664,11.139
-4.51676,-0.586216,-8.42664,1.04159
-4.51679,-0.586223,-8.4266,12.8194
-2.81687,1.11805,-5.47757,11.684
-2.78004,1.11805,-5.47757,0.0873272
-2.78003,1.11804,-5.47754,13.2287
-2.15761,2.6716,1.99863,11.684
-2.12397,2.6716,1.99863,0.0394682
-2.12399,2.67158,1.99866,13.2765
-3.4471,-1.99792,1.50507,0.407
-3.43229,-1.99792,1.50507,1.9994
-3.43219,-1.99788,1.50505,22.5936
-0.339646,0.314408,3.35686,2.472
-0.33936,0.314408,3.35686,0.945085
-0.339313,0.314393,3.35679,1.17137
-0.339257,0.314455,3.35681,0.0980843
-0.3392,0.314513,3.35683,0.0682598
-0.339136,0.314554,3.35686,0.0136308
-0.33909,0.314598,3.35688,0.226395
-0.339132,0.314664,3.35691,1.35446
-0.339164,0.314727,3.35695,1.23431
-0.339185,0.314794,3.35695,1.03927
-0.339171,0.314851,3.35693,0.247031
-0.339148,0.314886,3.35693,0.158955
-0.33916,0.314911,3.35688,0.167436
-0.339132,0.314936,3.35684,1.45915
-0.339102,0.314952,3.35679,14.3446
-2.86026,1.99199,-5.627,9.884
-2.85213,1.99199,-5.627,0.0588734
-2.85208,1.99199,-5.62702,15.0571
-0.461806,1.57792,8.30964,11.139
-0.440938,1.57792,8.30964,0.839176
-0.440921,1.57795,8.30964,13.0218
-3.79179,2.25175,-0.745215,9.884
-3.77948,2.25175,-0.745215,0.139646
-3.77943,2.25175,-0.745189,14.9764
-2.73196,0.915439,-7.22475,9.884
-2.7412,0.934653,-7.22253,0.092543
-2.74121,0.934663,-7.22249,15.0235
1.4022,2.96965,5.25483,11.139
1.4476,2.96965,5.25483,0.096577
1.44762,2.96966,5.25485,13.7644
-3.69752,1.20485,1.04053,11.684
-3.69248,1.20485,1.04053,1.73132
-3.69247,1.20486,1.04055,11.5847
-2.56017,0.824252,-3.60877,2.712
-2.55087,0.824252,-3.60877,0.345505
-2.55084,0.824234,-3.60868,21.9425
-3.96562,1.02672,0.381532,11.684
-3.96533,1.02672,0.381532,0.648098
-3.96535,1.02673,0.381566,0.0810248
-3.96536,1.02676,0.381554,8.03148
-3.96537,1.02679,0.381538,4.5554
-2.29132,0.358934,-2.23336,11.684
-2.28582,0.358934,-2.23336,0.0306006
-2.28582,0.358923,-2.23332,13.2854
-2.78115,1.0872,-5.51905,11.684
-2.7517,1.0872,-5.51905,0.0342471
-2.75173,1.08716,-5.51904,13.2818
-0.567012,1.17505,6.98645,2.197
-0.525912,1.17505,6.98645,1.50442
-0.525955,1.17512,6.98641,21.2986
-0.254048,-0.0430623,8.04129,9.884
-0.247219,-0.0443206,8.04774,0.107021
-0.247256,-0.0442938,8.04776,15.009
-3.59111,0.289693,0.797112,9.884
-3.55916,0.289693,0.797112,0.323262
-3.55917,0.289644,0.797102,14.7927
-2.73206,1.20503,-3.62092,11.684
-2.70265,1.20503,-3.62092,0.0611688
-2.70262,1.20502,-3.6209,13.2548
-2.53157,-2.87307,-8.42327,11.684
-2.51436,-2.87307,-8.42327,0.182484
-2.51436,-2.87309,-8.4233,13.1335
-4.13999,-1.2718,-8.9422,11.139
-4.13938,-1.2718,-8.9422,1.09969
-4.13936,-1.27177,-8.94222,12.7613
-1.45932,0.392655,-0.231379,0.469
-1.45416,0.392655,-0.231379,0.242874
-1.45411,0.392642,-0.231475,24.2881
-0.297542,3.72237,-0.930017,11.684
-0.230873,3.72237,-0.930017,0.545164
-0.230849,3.72239,-0.930036,12.7708
-1.88486,1.74219,6.16082,2.472
-1.86963,1.74219,6.16082,0.374475
-1.86964,1.74225,6.16084,22.1535
-3.62696,0.863524,1.46559,11.684
-3.6156,0.863524,1.46559,0.063766
-3.6156,0.863503,1.46561,13.2522
